City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
298,demre,36.2537,29.9777,30.18,57,0,2.76,TR,1691511719
299,yamada,39.4667,141.95,24.63,97,91,3.9,JP,1691511719
300,vernal,40.4555,-109.5287,21.84,40,0,4.63,US,1691511719
301,ocean shores,46.9737,-124.1563,19.1,92,100,4.12,US,1691511720
302,deori khas,23.4,79.0167,24.12,86,89,3.58,IN,1691511720
303,wulingyuan,29.3494,110.5441,25.32,96,94,0.78,CN,1691511720
304,fortaleza,-3.7227,-38.5247,31.07,55,20,10.8,BR,1691511469
305,jamaame,0.0697,42.745,24.2,80,3,5.5,SO,1691511720
306,drahichyn,52.1874,25.1597,17.91,53,89,2.78,BY,1691511721
307,gorontalo,0.5412,123.0595,23.39,93,9,1.84,ID,1691511721
308,marsh harbour,26.5412,-77.0636,30.41,73,6,5.22,BS,1691511721
309,ta khmau,11.4833,104.95,24.03,100,40,2.57,KH,1691511721
310,tondano,1.3038,124.9112,21.05,93,51,1.8,ID,1691511721
311,minas de marcona,-15.2119,-75.1103,17.62,60,10,5.76,PE,1691511722
312,malanje,-9.5402,16.341,30.47,15,0,1.75,AO,1691511722
313,aasiaat,68.7098,-52.8699,3.85,73,28,2.43,GL,1691511722
314,flying fish cove,-10.4217,105.6791,24.82,88,100,5.14,CX,1691511722
315,harnai,30.1005,67.9374,33.65,33,0,2.31,PK,1691511723
316,lautoka,-17.6167,177.4667,20.92,88,75,1.54,FJ,1691511723
317,miyaly,48.8844,53.7836,31.08,27,79,4.38,KZ,1691511723
318,bridgewater,44.3835,-64.5155,22.6,86,100,7.2,CA,1691511723
319,grantsville,40.5999,-112.4644,24.42,47,40,1.34,US,1691511723
320,hobyo,5.3505,48.5268,24.9,82,58,12.36,SO,1691511724
321,ishim,56.1128,69.4902,19.5,62,79,1.92,RU,1691511724
322,sumusta as sultani,28.9167,30.85,37.41,19,0,5.74,EG,1691511724
323,flin flon,54.7682,-101.865,13.91,82,75,7.2,CA,1691511725
324,mountain home,43.133,-115.6912,19.52,57,0,4.63,US,1691511725
325,mary,37.0,62.5,32.99,18,0,2.46,TM,1691511725
326,leongatha,-38.4833,145.95,4.37,97,3,1.44,AU,1691511725
327,nikolayevsk-on-amure,53.1406,140.73,13.1,93,98,1.49,RU,1691511725
328,trevelin,-43.0858,-71.4639,7.71,79,100,1.6,AR,1691511726
329,vilyuysk,63.7553,121.6247,15.41,53,0,2.76,RU,1691511726
330,al battaliyah,25.4333,49.6333,41.23,23,0,5.32,SA,1691511726
331,novodvinsk,64.4165,40.8122,21.91,58,0,2.37,RU,1691511726
332,palikir - national government center,6.9248,158.1611,23.41,100,100,0.0,FM,1691511726
333,sinop,41.7711,34.8709,22.24,87,60,3.12,TR,1691511727
334,york,40.1254,-77.0,24.64,62,81,7.75,US,1691511727
335,bad doberan,54.1071,11.9005,16.7,82,56,11.26,DE,1691511727
336,forster,-32.1667,152.5167,6.88,99,9,2.43,AU,1691511727
337,yayladagi,35.9025,36.0627,25.07,71,6,4.63,TR,1691511727
